age,gender,booking_status,quota,coach_type,booking_time,travel_distance,waiting_list_number,seat_preference,berth_type
49,M,CNF,GN,SL,8,1815,0,SL,MB
66,M,CNF,TQ,2AC,19,1391,0,NA,LB
56,M,CNF,LD,SL,16,1736,0,NA,LB
66,M,WL,TQ,3AC,16,101,2,UB,SL
45,M,CNF,LD,3AC,4,1859,0,SL,SL
50,F,RAC,TQ,2AC,1,1176,12,LB,SL
43,M,WL,TQ,2AC,22,935,11,SL,SL
34,M,RAC,GN,SL,23,1960,2,NA,SL
23,F,CNF,GN,3AC,15,243,0,NA,MB
50,M,CNF,TQ,2AC,5,563,0,LB,LB
46,M,WL,LD,2AC,3,502,3,LB,SL
36,M,CNF,GN,3AC,6,1943,0,NA,SL
58,M,RAC,TQ,SL,6,437,8,UB,SU
18,M,RAC,TQ,3AC,17,250,10,NA,SU
52,F,CNF,LD,2AC,15,445,0,NA,LB
65,M,CNF,GN,3AC,16,101,0,UB,LB
18,M,CNF,LD,2AC,11,552,0,LB,LB
54,F,WL,GN,SL,22,108,9,NA,SL
52,M,RAC,LD,SL,15,1254,1,UB,SL
41,M,WL,LD,SL,16,1543,6,NA,SL
57,M,RAC,LD,2AC,2,1235,3,LB,SL
42,F,CNF,LD,2AC,13,437,0,SL,SL
19,M,RAC,LD,2AC,15,1056,9,SL,SL
53,F,RAC,TQ,SL,0,497,16,SL,SU
37,F,CNF,GN,SL,7,1258,0,NA,MB
20,M,RAC,LD,SL,0,787,12,SL,SL
68,F,RAC,GN,SL,21,849,6,SL,SU
55,M,CNF,TQ,2AC,21,1899,0,SL,LB
44,M,CNF,LD,2AC,20,897,0,SL,MB
50,M,CNF,TQ,SL,0,552,0,LB,LB
65,M,CNF,TQ,3AC,2,1315,0,UB,LB
66,F,CNF,GN,2AC,11,1343,0,SL,LB
47,F,WL,TQ,SL,20,617,3,LB,SU
58,F,WL,GN,SL,16,401,3,SL,SL
50,F,CNF,GN,2AC,20,1027,0,NA,SL
40,M,CNF,GN,SL,2,227,0,UB,UB
35,M,CNF,TQ,2AC,21,669,0,UB,UB
20,F,CNF,GN,SL,23,725,0,SL,SL
49,M,RAC,TQ,SL,22,1061,10,UB,SL
19,F,CNF,LD,3AC,7,1516,0,UB,UB
60,M,RAC,GN,SL,6,1600,10,NA,SL
43,M,RAC,LD,3AC,23,624,7,NA,SL
53,F,RAC,GN,2AC,0,1899,14,LB,SU
33,M,CNF,TQ,SL,18,570,0,UB,UB
32,F,CNF,TQ,3AC,1,1923,0,UB,UB
40,M,RAC,GN,2AC,18,1788,17,UB,SU
69,F,CNF,TQ,SL,14,1177,0,SL,LB
60,F,CNF,LD,2AC,0,363,0,NA,LB
61,F,WL,GN,SL,6,1319,6,SL,SL
62,F,CNF,GN,SL,14,966,0,NA,LB
57,F,RAC,LD,3AC,12,469,10,NA,SL
47,F,CNF,LD,SL,23,930,0,SL,MB
36,F,CNF,GN,2AC,22,1469,0,UB,UB
54,F,CNF,TQ,SL,22,1250,0,SL,LB
26,F,RAC,LD,SL,0,1181,1,SL,SU
64,F,CNF,TQ,3AC,21,659,0,SL,LB
42,M,RAC,GN,3AC,20,996,16,NA,SL
56,F,RAC,TQ,2AC,4,889,3,LB,SU
29,F,CNF,GN,3AC,18,1096,0,SL,SL
39,F,CNF,TQ,2AC,13,1343,0,UB,UB
22,F,CNF,LD,SL,13,1057,0,LB,LB
69,F,CNF,LD,2AC,15,317,0,SL,LB
43,M,CNF,GN,2AC,6,1735,0,SL,MB
50,M,CNF,GN,SL,4,122,0,LB,LB
27,M,WL,TQ,2AC,3,901,10,LB,SU
36,F,CNF,LD,2AC,0,1115,0,UB,UB
22,F,RAC,TQ,3AC,15,891,16,UB,SL
19,M,CNF,GN,3AC,19,1787,0,UB,UB
29,M,CNF,LD,2AC,0,1056,0,NA,MB
68,M,RAC,GN,3AC,11,1958,1,UB,SU
50,F,RAC,TQ,2AC,10,1679,13,NA,SU
29,M,CNF,LD,3AC,1,1376,0,NA,SL
68,M,RAC,LD,3AC,22,948,8,NA,SL
46,F,RAC,TQ,SL,1,214,9,SL,SL
24,F,CNF,TQ,3AC,20,1749,0,LB,LB
62,M,WL,GN,SL,23,1543,4,NA,SL
27,M,CNF,GN,3AC,23,291,0,NA,SL
52,F,WL,TQ,SL,15,1671,18,UB,SU
66,F,RAC,LD,2AC,23,762,5,LB,SU
29,F,CNF,GN,3AC,12,378,0,SL,SL
42,F,CNF,LD,2AC,16,161,0,UB,UB
37,F,RAC,GN,3AC,21,496,19,NA,SU
66,M,CNF,TQ,3AC,8,175,0,NA,LB
26,M,CNF,TQ,SL,13,834,0,LB,LB
69,F,CNF,LD,2AC,14,243,0,LB,LB
22,M,CNF,LD,3AC,19,990,0,UB,UB
38,F,RAC,GN,SL,22,1267,7,SL,SU
62,F,WL,GN,3AC,6,497,5,SL,SU
52,F,WL,TQ,3AC,10,1966,18,SL,SL
64,F,CNF,GN,2AC,9,1053,0,LB,LB
61,F,WL,GN,2AC,5,1642,14,LB,SL
30,M,CNF,GN,SL,8,1045,0,LB,LB
44,M,RAC,GN,SL,4,128,5,NA,SL
55,M,WL,TQ,2AC,15,1488,1,SL,SU
39,M,RAC,LD,2AC,6,316,13,LB,SL
21,F,CNF,GN,2AC,18,544,0,LB,LB
61,F,CNF,LD,2AC,9,1981,0,NA,LB
36,F,CNF,LD,SL,2,272,0,LB,LB
30,M,CNF,GN,2AC,19,575,0,SL,MB
25,M,CNF,TQ,2AC,8,1124,0,NA,SL
20,M,CNF,LD,2AC,16,1532,0,SL,MB
50,F,CNF,TQ,SL,5,157,0,NA,SL
61,F,WL,LD,SL,12,1952,15,NA,SL
38,F,CNF,LD,2AC,20,302,0,NA,SL
54,F,CNF,LD,2AC,18,1655,0,SL,LB
35,F,CNF,GN,SL,16,1649,0,SL,SL
32,M,CNF,TQ,2AC,20,1689,0,NA,SL
20,M,WL,TQ,3AC,10,1135,10,UB,SU
49,M,CNF,TQ,3AC,5,1071,0,SL,SL
41,F,RAC,LD,SL,7,1245,4,UB,SL
43,M,CNF,LD,3AC,17,639,0,NA,MB
45,F,CNF,LD,2AC,3,1827,0,NA,SL
44,M,RAC,GN,3AC,16,1324,1,UB,SU
37,M,RAC,TQ,2AC,15,1024,13,SL,SU
63,F,CNF,TQ,2AC,5,1717,0,SL,LB
68,F,RAC,LD,3AC,14,549,10,SL,SU
47,F,WL,GN,SL,12,1128,1,UB,SU
18,M,CNF,LD,2AC,14,276,0,UB,UB
28,M,CNF,GN,2AC,21,926,0,NA,SL
44,F,CNF,GN,SL,0,1733,0,SL,MB
58,F,CNF,GN,3AC,0,504,0,LB,LB
65,M,CNF,TQ,SL,16,808,0,LB,LB
48,F,RAC,LD,SL,2,1560,5,NA,SL
54,M,RAC,LD,3AC,18,1268,14,NA,SU
26,F,CNF,TQ,SL,18,784,0,LB,LB
30,F,CNF,TQ,SL,0,980,0,LB,LB
57,F,RAC,TQ,SL,7,1674,2,LB,SL
20,M,CNF,LD,3AC,11,1177,0,LB,LB
61,M,CNF,GN,2AC,16,723,0,NA,LB
64,M,CNF,LD,3AC,4,952,0,NA,LB
31,F,RAC,TQ,2AC,18,202,6,NA,SU
51,M,CNF,LD,2AC,1,1973,0,LB,LB
47,M,CNF,LD,SL,18,546,0,SL,MB
51,M,CNF,GN,SL,5,1604,0,LB,LB
41,M,WL,GN,3AC,22,1229,19,NA,SU
34,F,WL,GN,SL,3,237,17,SL,SU
27,F,RAC,GN,2AC,19,1083,5,UB,SU
51,M,RAC,TQ,SL,1,304,11,UB,SL
60,F,CNF,GN,SL,18,210,0,LB,LB
40,M,CNF,TQ,2AC,10,1497,0,SL,SL
33,M,RAC,TQ,2AC,7,999,3,SL,SU
49,F,CNF,LD,2AC,17,160,0,NA,SL
68,M,CNF,LD,SL,4,1589,0,NA,LB
45,F,CNF,LD,3AC,21,1528,0,LB,LB
23,M,CNF,GN,2AC,8,623,0,LB,LB
43,F,WL,LD,SL,16,1201,13,UB,SU
44,F,CNF,TQ,SL,14,1244,0,NA,SL
39,M,CNF,TQ,3AC,10,930,0,NA,SL
65,F,CNF,LD,SL,3,1380,0,UB,LB
25,F,RAC,TQ,2AC,19,818,15,NA,SU
39,F,CNF,LD,SL,22,177,0,NA,MB
41,F,RAC,TQ,3AC,13,798,19,LB,SU
24,M,RAC,LD,2AC,22,849,11,NA,SU
64,M,CNF,GN,2AC,17,1629,0,SL,LB
55,F,CNF,LD,3AC,14,1315,0,LB,LB
42,M,RAC,TQ,2AC,9,1162,17,UB,SU
56,F,CNF,LD,3AC,11,636,0,LB,LB
34,M,CNF,LD,2AC,3,1517,0,UB,UB
20,M,RAC,TQ,2AC,17,210,4,LB,SU
64,M,RAC,GN,SL,14,1899,8,NA,SL
66,M,CNF,TQ,2AC,9,524,0,SL,LB
54,F,CNF,TQ,3AC,1,1566,0,NA,LB
62,M,CNF,TQ,2AC,0,1560,0,UB,LB
39,F,CNF,GN,2AC,5,1626,0,UB,UB
65,M,CNF,TQ,3AC,10,1569,0,SL,LB
47,F,CNF,GN,3AC,22,1260,0,SL,SL
20,M,CNF,TQ,2AC,7,328,0,NA,SL
53,F,WL,LD,2AC,5,1445,11,NA,SU
21,F,CNF,GN,2AC,21,980,0,UB,UB
47,F,CNF,GN,3AC,18,673,0,LB,LB
19,F,CNF,LD,3AC,7,1149,0,NA,SL
68,M,RAC,TQ,SL,4,425,4,UB,SU
36,M,CNF,TQ,SL,19,212,0,NA,MB
29,M,CNF,TQ,2AC,13,419,0,UB,UB
55,M,CNF,TQ,3AC,10,1634,0,SL,LB
53,F,CNF,LD,SL,2,1796,0,SL,LB
23,F,CNF,TQ,2AC,9,360,0,NA,MB
40,M,CNF,GN,2AC,1,112,0,SL,MB
57,M,RAC,TQ,SL,0,1442,5,LB,SU
26,M,RAC,LD,3AC,10,1010,6,LB,SL
52,F,CNF,GN,3AC,16,1704,0,SL,LB
61,F,CNF,TQ,SL,20,475,0,UB,LB
28,F,WL,LD,2AC,11,1670,1,UB,SL
57,M,RAC,GN,2AC,7,1902,9,NA,SL
54,F,CNF,LD,SL,2,824,0,UB,LB
54,F,RAC,LD,3AC,13,1533,4,NA,SU
42,M,WL,TQ,3AC,17,395,8,UB,SL
56,F,RAC,TQ,2AC,18,1760,6,SL,SU
50,F,RAC,TQ,3AC,14,1092,17,UB,SU
50,F,CNF,GN,SL,1,920,0,NA,SL
57,F,CNF,LD,3AC,6,297,0,LB,LB
23,F,CNF,TQ,SL,18,653,0,LB,LB
69,F,RAC,TQ,SL,0,577,7,SL,SL
44,M,RAC,LD,3AC,5,1564,1,UB,SL
54,M,RAC,TQ,3AC,0,1377,4,LB,SU
39,M,RAC,GN,3AC,4,1758,10,SL,SU
50,M,CNF,GN,SL,12,1282,0,SL,SL
64,M,RAC,TQ,3AC,23,1047,15,SL,SU
46,M,CNF,TQ,SL,14,423,0,UB,UB
29,M,RAC,LD,2AC,18,854,4,NA,SU
53,M,RAC,TQ,SL,4,1783,11,SL,SL
27,F,CNF,TQ,2AC,5,811,0,SL,SL
40,F,CNF,GN,2AC,13,462,0,UB,UB
29,F,WL,GN,2AC,7,1057,18,SL,SL
42,M,CNF,LD,3AC,7,927,0,SL,SL
60,M,WL,GN,SL,3,1107,4,LB,SU
22,F,WL,GN,SL,7,226,10,UB,SL
66,F,CNF,TQ,3AC,8,1113,0,NA,LB
68,M,RAC,TQ,2AC,7,1420,11,LB,SU
40,F,CNF,TQ,SL,4,1528,0,SL,MB
43,F,RAC,TQ,SL,21,1082,1,SL,SL
68,F,CNF,LD,2AC,20,1554,0,SL,LB
26,M,RAC,TQ,3AC,9,1559,9,UB,SL
52,F,CNF,GN,2AC,10,1929,0,UB,LB
19,M,CNF,GN,3AC,1,446,0,UB,UB
34,M,CNF,LD,SL,11,862,0,LB,LB
68,M,CNF,LD,SL,6,1303,0,UB,LB
23,F,CNF,GN,2AC,0,276,0,LB,LB
46,F,CNF,GN,SL,21,765,0,SL,MB
45,M,CNF,LD,SL,16,1066,0,UB,UB
34,M,WL,TQ,SL,16,247,8,SL,SL
66,M,CNF,TQ,SL,12,1089,0,UB,LB
40,F,CNF,LD,SL,23,822,0,LB,LB
49,F,CNF,TQ,3AC,16,528,0,LB,LB
46,F,CNF,LD,SL,7,1142,0,LB,LB
35,F,CNF,TQ,2AC,18,1298,0,LB,LB
67,M,CNF,TQ,3AC,16,213,0,NA,LB
47,M,CNF,TQ,2AC,3,1387,0,NA,MB
46,M,CNF,TQ,2AC,2,899,0,UB,UB
27,M,CNF,GN,3AC,13,261,0,SL,SL
50,F,CNF,TQ,2AC,17,1514,0,NA,MB
46,M,CNF,LD,2AC,22,1958,0,UB,UB
41,F,CNF,TQ,SL,7,1177,0,NA,SL
64,F,CNF,TQ,3AC,18,1732,0,LB,LB
45,F,CNF,TQ,3AC,1,1926,0,SL,SL
49,M,WL,LD,3AC,23,913,11,LB,SL
33,M,CNF,GN,3AC,4,281,0,LB,LB
38,F,CNF,GN,2AC,22,1043,0,LB,LB
35,F,CNF,LD,SL,6,1796,0,NA,SL
40,F,RAC,LD,SL,15,1504,19,SL,SU
53,F,RAC,GN,2AC,17,613,1,UB,SL
64,F,RAC,GN,SL,10,845,2,SL,SU
20,M,CNF,TQ,2AC,11,1655,0,UB,UB
22,F,CNF,LD,2AC,8,1349,0,LB,LB
61,F,CNF,GN,SL,21,1487,0,SL,LB
41,F,CNF,TQ,3AC,23,158,0,LB,LB
63,M,CNF,GN,2AC,16,1238,0,NA,LB
34,M,CNF,GN,2AC,7,336,0,LB,LB
42,M,CNF,LD,2AC,21,1401,0,UB,UB
60,F,CNF,TQ,3AC,12,709,0,SL,LB
40,M,RAC,TQ,3AC,5,1269,10,SL,SL
53,M,CNF,GN,SL,1,1140,0,LB,LB
54,M,RAC,TQ,3AC,11,1722,10,NA,SU
39,F,CNF,TQ,3AC,5,830,0,UB,UB
57,M,CNF,TQ,3AC,12,920,0,LB,LB
24,F,CNF,LD,2AC,16,1021,0,NA,SL
38,M,CNF,GN,3AC,13,1699,0,LB,LB
19,M,CNF,GN,3AC,10,1828,0,UB,UB
68,M,CNF,TQ,3AC,18,893,0,SL,LB
46,M,CNF,GN,3AC,7,110,0,NA,MB
53,M,RAC,TQ,2AC,6,843,3,UB,SU
51,M,CNF,TQ,2AC,23,857,0,LB,LB
39,F,RAC,GN,3AC,0,1885,4,LB,SU
64,F,CNF,LD,3AC,2,1367,0,NA,LB
60,F,RAC,GN,3AC,12,581,9,LB,SU
43,M,CNF,LD,3AC,8,812,0,SL,MB
57,F,RAC,GN,SL,10,1739,10,NA,SU
42,M,CNF,TQ,3AC,2,1621,0,SL,MB
54,F,CNF,GN,SL,18,1601,0,LB,LB
55,M,CNF,TQ,3AC,18,1736,0,UB,LB
61,M,RAC,GN,SL,16,1056,17,SL,SL
27,M,RAC,LD,SL,16,1938,12,LB,SL
33,F,WL,TQ,2AC,7,760,17,NA,SU
40,F,RAC,GN,3AC,15,809,8,LB,SU
42,F,WL,LD,3AC,11,1778,9,SL,SL
62,F,RAC,LD,SL,9,1139,7,SL,SU
34,F,CNF,GN,SL,20,1209,0,SL,SL
24,M,CNF,LD,SL,20,1642,0,NA,SL
26,M,CNF,TQ,2AC,7,1621,0,UB,UB
40,F,RAC,LD,3AC,19,1034,3,UB,SL
35,F,CNF,GN,3AC,6,1396,0,LB,LB
31,M,CNF,GN,SL,2,719,0,NA,SL
62,M,CNF,TQ,3AC,4,1294,0,SL,LB
57,F,CNF,TQ,3AC,22,463,0,LB,LB
56,F,CNF,GN,3AC,16,1639,0,LB,LB
46,F,RAC,TQ,3AC,12,821,1,UB,SU
33,M,CNF,LD,2AC,11,993,0,UB,UB
19,F,CNF,TQ,2AC,9,645,0,NA,MB
47,M,CNF,TQ,2AC,12,1264,0,NA,SL
35,M,WL,LD,2AC,2,1162,14,LB,SU
69,F,CNF,GN,3AC,16,576,0,SL,LB
61,M,RAC,GN,3AC,23,1871,15,NA,SL
27,M,CNF,GN,SL,6,439,0,LB,LB
22,F,RAC,GN,2AC,16,102,13,LB,SU
31,M,CNF,LD,3AC,17,423,0,UB,UB
35,M,CNF,GN,2AC,15,804,0,UB,UB
63,F,CNF,GN,3AC,14,916,0,SL,LB
41,M,CNF,TQ,2AC,4,160,0,SL,SL
54,M,CNF,LD,SL,5,906,0,SL,LB
63,F,RAC,GN,3AC,12,325,7,NA,SU
69,F,CNF,TQ,2AC,7,1783,0,NA,LB
46,M,RAC,GN,2AC,20,1366,13,UB,SU
63,M,CNF,LD,3AC,1,924,0,SL,LB
43,M,CNF,LD,2AC,2,1897,0,LB,LB
22,F,CNF,GN,SL,14,826,0,SL,SL
66,M,CNF,TQ,SL,19,1876,0,UB,LB
59,F,CNF,TQ,SL,17,161,0,NA,LB
34,M,CNF,TQ,2AC,2,880,0,SL,MB
64,F,CNF,GN,3AC,3,1480,0,UB,LB
51,M,CNF,TQ,SL,23,1446,0,SL,LB
45,M,CNF,GN,SL,2,1020,0,SL,SL
51,M,WL,LD,3AC,8,1586,8,NA,SL
42,M,CNF,GN,3AC,1,1083,0,UB,UB
32,M,CNF,LD,2AC,4,1299,0,NA,MB
43,F,CNF,GN,3AC,4,1439,0,LB,LB
65,M,RAC,GN,3AC,4,1072,17,NA,SL
67,M,CNF,TQ,2AC,18,797,0,LB,LB
20,M,CNF,LD,SL,1,139,0,SL,SL
44,M,WL,LD,3AC,0,1385,19,UB,SU
33,M,RAC,LD,2AC,0,670,16,LB,SU
58,M,CNF,LD,2AC,12,1468,0,LB,LB
59,F,CNF,TQ,SL,5,799,0,NA,LB
24,F,WL,TQ,2AC,12,925,19,LB,SU
48,M,RAC,TQ,SL,9,771,11,LB,SU
47,M,WL,GN,3AC,17,455,2,SL,SL
31,F,RAC,LD,3AC,11,394,2,UB,SL
49,M,CNF,LD,3AC,16,1356,0,LB,LB
34,F,CNF,GN,SL,1,799,0,UB,UB
41,M,RAC,TQ,3AC,15,1449,19,NA,SU
47,F,CNF,GN,2AC,8,1347,0,UB,UB
51,F,CNF,TQ,SL,14,1345,0,SL,LB
54,F,CNF,GN,3AC,3,1015,0,NA,LB
49,F,RAC,LD,3AC,3,830,17,NA,SU
29,M,CNF,TQ,2AC,9,985,0,NA,SL
18,F,CNF,GN,2AC,23,309,0,NA,MB
67,F,WL,LD,SL,14,384,12,SL,SU
53,M,RAC,GN,3AC,19,480,12,SL,SU
24,F,CNF,LD,2AC,0,1769,0,NA,MB
64,F,CNF,TQ,3AC,18,558,0,LB,LB
40,F,CNF,LD,3AC,13,837,0,SL,MB
46,M,WL,LD,2AC,2,496,9,NA,SU
56,M,CNF,GN,SL,10,983,0,NA,LB
49,M,CNF,GN,SL,13,1207,0,UB,UB
39,F,CNF,TQ,3AC,2,948,0,LB,LB
61,M,CNF,LD,3AC,20,402,0,SL,LB
33,F,WL,TQ,SL,19,1897,19,UB,SU
22,F,WL,TQ,2AC,0,669,6,SL,SL
32,M,RAC,GN,2AC,2,1955,17,UB,SU
42,F,RAC,LD,SL,17,1394,12,SL,SU
33,F,CNF,GN,2AC,13,1084,0,SL,SL
34,M,CNF,GN,SL,7,690,0,LB,LB
44,F,RAC,GN,2AC,19,298,3,NA,SL
46,F,CNF,LD,3AC,20,1659,0,LB,LB
20,F,CNF,TQ,SL,14,1276,0,UB,UB
47,F,CNF,LD,SL,16,1359,0,LB,LB
37,M,CNF,GN,SL,5,1116,0,NA,MB
39,F,CNF,LD,2AC,20,485,0,SL,SL
41,M,CNF,LD,SL,12,820,0,LB,LB
25,F,CNF,TQ,2AC,17,1489,0,NA,SL
64,F,RAC,LD,SL,10,1424,1,UB,SU
55,M,WL,TQ,3AC,10,313,19,SL,SL
41,M,CNF,GN,3AC,11,988,0,LB,LB
63,M,CNF,LD,SL,15,1433,0,SL,LB
39,M,CNF,GN,3AC,0,813,0,UB,UB
57,F,CNF,LD,3AC,0,101,0,LB,LB
50,F,CNF,GN,2AC,12,688,0,SL,MB
69,F,CNF,LD,2AC,6,293,0,LB,LB
55,M,CNF,LD,2AC,13,221,0,UB,LB
67,M,RAC,LD,2AC,9,986,12,SL,SL
66,M,WL,GN,SL,2,734,6,SL,SL
26,F,WL,LD,2AC,6,322,9,LB,SU
67,F,WL,LD,3AC,7,1813,15,NA,SL
24,F,RAC,TQ,3AC,15,999,6,LB,SL
39,M,CNF,TQ,3AC,2,1250,0,NA,SL
58,M,CNF,TQ,2AC,13,1070,0,UB,LB
35,F,CNF,LD,3AC,22,1647,0,SL,SL
30,M,CNF,TQ,2AC,18,221,0,LB,LB
36,F,WL,GN,3AC,3,784,8,LB,SU
46,F,RAC,GN,SL,22,387,19,LB,SL
61,F,CNF,TQ,2AC,17,1846,0,NA,LB
39,M,CNF,GN,3AC,23,972,0,SL,MB
20,M,CNF,TQ,2AC,18,134,0,NA,SL
46,F,CNF,TQ,SL,14,452,0,LB,LB
24,F,CNF,LD,3AC,20,258,0,UB,UB
41,M,CNF,LD,3AC,3,831,0,LB,LB
61,M,RAC,TQ,3AC,23,1685,17,NA,SU
68,M,CNF,GN,3AC,3,1373,0,UB,LB
51,F,CNF,LD,3AC,1,434,0,NA,LB
51,F,RAC,GN,3AC,6,854,19,LB,SL
29,F,CNF,LD,3AC,17,1675,0,LB,LB
38,F,RAC,LD,3AC,2,893,8,SL,SL
53,M,WL,GN,3AC,22,1421,12,SL,SU
31,F,WL,GN,SL,22,392,5,NA,SL
55,M,CNF,GN,SL,21,1951,0,SL,LB
64,F,CNF,LD,3AC,6,1207,0,UB,LB
19,M,CNF,TQ,2AC,16,990,0,SL,MB
42,F,WL,LD,2AC,1,1286,5,SL,SU
22,F,CNF,LD,2AC,7,559,0,SL,SL
53,M,WL,TQ,3AC,14,386,11,LB,SU
27,F,CNF,LD,2AC,13,691,0,LB,LB
27,F,CNF,TQ,2AC,11,961,0,UB,UB
58,M,CNF,LD,3AC,19,1899,0,UB,LB
60,F,WL,GN,2AC,21,1407,11,UB,SL
54,M,CNF,GN,SL,11,264,0,NA,LB
66,F,RAC,TQ,SL,11,1947,15,NA,SL
32,F,CNF,LD,2AC,19,433,0,NA,MB
19,M,CNF,LD,SL,4,1143,0,SL,SL
43,F,CNF,TQ,SL,22,1158,0,NA,SL
23,F,CNF,LD,2AC,4,1284,0,SL,SL
66,M,CNF,GN,3AC,11,589,0,SL,LB
37,M,WL,TQ,3AC,23,1374,11,UB,SU
51,F,CNF,TQ,3AC,6,1346,0,SL,LB
64,F,CNF,GN,2AC,22,1551,0,NA,LB
55,F,CNF,TQ,SL,12,407,0,SL,LB
33,M,WL,TQ,2AC,22,1131,18,LB,SU
38,F,CNF,LD,3AC,7,768,0,NA,MB
49,M,CNF,LD,3AC,14,185,0,SL,MB
64,M,RAC,LD,2AC,22,1242,11,UB,SL
27,M,CNF,LD,2AC,17,1268,0,UB,UB
43,M,WL,GN,SL,7,687,8,NA,SU
42,F,RAC,GN,2AC,0,1124,19,UB,SL
48,M,RAC,TQ,2AC,20,1427,5,NA,SU
58,M,CNF,TQ,3AC,1,1109,0,SL,LB
23,M,CNF,GN,2AC,0,1804,0,UB,UB
42,M,WL,GN,3AC,8,1880,13,UB,SL
48,F,RAC,TQ,SL,3,1733,6,SL,SL
63,M,WL,TQ,2AC,18,1577,2,LB,SU
35,F,WL,TQ,2AC,22,950,13,NA,SL
28,F,CNF,TQ,SL,21,554,0,LB,LB
42,F,CNF,GN,2AC,0,1199,0,NA,SL
24,M,CNF,GN,2AC,18,927,0,SL,SL
46,M,CNF,GN,2AC,16,835,0,NA,SL
66,F,CNF,GN,3AC,5,1390,0,LB,LB
52,M,CNF,GN,3AC,13,941,0,SL,LB
19,M,CNF,GN,3AC,2,184,0,NA,MB
43,F,WL,TQ,3AC,1,553,12,SL,SL
22,F,CNF,LD,3AC,4,1074,0,UB,UB
61,M,CNF,LD,SL,10,1043,0,NA,LB
40,F,RAC,GN,3AC,17,463,11,SL,SL
62,F,RAC,TQ,2AC,10,1114,16,UB,SL
64,M,CNF,TQ,SL,14,892,0,NA,LB
53,F,WL,TQ,2AC,14,423,13,NA,SL
39,M,CNF,LD,2AC,13,1063,0,LB,LB
65,F,CNF,LD,2AC,13,1662,0,SL,LB
46,M,RAC,LD,SL,2,1771,16,LB,SL
59,M,RAC,GN,3AC,17,101,17,NA,SL
30,M,CNF,LD,2AC,10,1386,0,NA,MB
48,F,WL,GN,3AC,6,1008,7,UB,SU
66,F,CNF,LD,SL,9,1051,0,NA,LB
53,F,CNF,LD,SL,21,1898,0,NA,LB
18,F,CNF,GN,2AC,12,1485,0,UB,UB
64,M,WL,GN,3AC,22,1241,9,SL,SL
43,M,CNF,GN,3AC,9,1083,0,LB,LB
59,F,WL,TQ,SL,15,1172,5,UB,SU
21,F,CNF,TQ,3AC,18,1735,0,NA,SL
56,M,RAC,LD,2AC,17,1014,4,UB,SU
27,M,CNF,GN,2AC,17,680,0,NA,MB
64,M,CNF,GN,SL,11,1349,0,SL,LB
50,F,CNF,LD,2AC,16,761,0,NA,SL
65,M,CNF,GN,3AC,2,1087,0,SL,LB
24,M,CNF,TQ,SL,9,1068,0,LB,LB
31,M,RAC,LD,3AC,1,1443,3,LB,SL
24,M,RAC,GN,SL,2,1677,7,LB,SU
